Metropolitan Area,City,STATE,Metro / Micro,Customers (State Level),Gross Sales (State Level),Total households,Owner-occupied housing units with a mortgage,"VALUE!!$1,000,000 or more",% Houses >$1m,VALUE!!Median (dollars)
"Davenport-Moline-Rock Island, IA-IL Metro Area",Davenport-Moline-Rock Island,IA-IL,Metro,3,12150,161702,69997,438,0.006257411,185900
"Eagle Pass, TX Metro Area",Eagle Pass,TX,Metro,0,0,18080,5114,32,0.006257333,198500
"Norfolk, NE Micro Area",Norfolk,NE,Micro,0,0,19617,6771,42,0.006202924,208300
"Warren, PA Micro Area",Warren,PA,Micro,2,2300,16123,5339,33,0.006180933,144700
"Cumberland, MD-WV Micro Area",Cumberland,MD-WV,Micro,50,336933,38502,14263,88,0.00616981,171000
"Ardmore, OK Micro Area",Ardmore,OK,Micro,2,12595,19046,6164,38,0.006164828,210200
"Erie, PA Metro Area",Erie,PA,Metro,20,30671,110587,40164,247,0.006149786,187800
"El Campo, TX Micro Area",El Campo,TX,Micro,2,12595,15890,4720,29,0.006144068,238200
"Wapakoneta, OH Micro Area",Wapakoneta,OH,Micro,2,4925,18940,8147,50,0.006137228,192900
"St. Joseph, MO-KS Metro Area",St. Joseph,MO-KS,Metro,0,0,46883,17518,107,0.006108003,184900
"Sierra Vista-Douglas, AZ Metro Area",Sierra Vista-Douglas,AZ,Metro,0,0,50982,17726,108,0.006092745,240000
"Clinton, IA Micro Area",Clinton,IA,Micro,0,0,19506,8406,51,0.006067095,166100
"Akron, OH Metro Area",Akron,OH,Metro,0,0,296516,126727,766,0.006044489,224600
"Marion, OH Micro Area",Marion,OH,Micro,4,3425,24683,9768,59,0.006040131,168300
"Farmington, NM Metro Area",Farmington,NM,Metro,3,9021,41732,12945,78,0.006025492,229800
"Norwalk, OH Micro Area",Norwalk,OH,Micro,0,0,23490,9967,60,0.006019866,167900
"Shreveport-Bossier City, LA Metro Area",Shreveport-Bossier City,LA,Metro,0,0,157101,55056,331,0.00601206,221000
"Austin, MN Micro Area",Austin,MN,Micro,20,30671,15719,7325,44,0.006006826,187400
"Williamsport, PA Metro Area",Williamsport,PA,Metro,0,0,46861,18485,111,0.006004869,208100
"Kingsland, GA Micro Area",Kingsland,GA,Micro,6,12660,21693,9383,56,0.00596824,275200
"Stevens Point-Plover, WI Micro Area",Stevens Point-Plover,WI,Micro,0,0,29679,11415,68,0.005957074,259400
"Marshalltown, IA Micro Area",Marshalltown,IA,Micro,0,0,15496,6382,38,0.005954246,161000
"Russellville, AR Micro Area",Russellville,AR,Micro,0,0,32671,11943,71,0.005944905,179100
"Gettysburg, PA Metro Area",Gettysburg,PA,Metro,0,0,40841,20053,119,0.005934274,278600
"Madison, IN Micro Area",Madison,IN,Micro,2,12595,12790,5436,32,0.005886681,215800
"Springfield, IL Metro Area",Springfield,IL,Metro,0,0,89990,38458,226,0.005876541,190500
"Cape Girardeau, MO-IL Metro Area",Cape Girardeau,MO-IL,Metro,3,3820,38299,15481,90,0.005813578,225300
"Ludington, MI Micro Area",Ludington,MI,Micro,2,4925,12801,4993,29,0.005808131,229300
"Albany, GA Metro Area",Albany,GA,Metro,0,0,57689,17955,104,0.005792258,200200
"Wheeling, WV-OH Metro Area",Wheeling,WV-OH,Metro,0,0,58024,18954,109,0.005750765,167000
"El Paso, TX Metro Area",El Paso,TX,Metro,2,58825,300479,101504,583,0.005743616,207000
"Florence, SC Metro Area",Florence,SC,Metro,2,4925,78417,26042,149,0.005721527,206500
"Albemarle, NC Micro Area",Albemarle,NC,Micro,2,2300,25240,10140,58,0.005719921,273800
"Sterling, IL Micro Area",Sterling,IL,Micro,0,0,23120,9742,55,0.005645658,137800
"Fort Payne, AL Micro Area",Fort Payne,AL,Micro,0,0,26181,8167,46,0.005632423,177000
"Rice Lake, WI Micro Area",Rice Lake,WI,Micro,0,0,19955,8182,46,0.005622097,228700
"Columbus, MS Micro Area",Columbus,MS,Micro,1,375,26952,8731,49,0.005612186,175100
"Richmond, IN Micro Area",Richmond,IN,Micro,0,0,26975,11839,66,0.005574795,150500
"Topeka, KS Metro Area",Topeka,KS,Metro,0,0,96999,38853,215,0.005533678,195200
"Plattsburgh, NY Micro Area",Plattsburgh,NY,Micro,2,4925,33556,11962,66,0.005517472,199100
"Dothan, AL Metro Area",Dothan,AL,Metro,3,9021,61011,22441,123,0.005481039,197300
"Huntingdon, PA Micro Area",Huntingdon,PA,Micro,2,1200,16341,6230,34,0.005457464,201200
"Cambridge, OH Micro Area",Cambridge,OH,Micro,3,9021,16318,6232,34,0.005455712,166900
"Marion-Herrin, IL Micro Area",Marion-Herrin,IL,Micro,2,11835,28983,11576,63,0.005442294,173600
"Hutchinson, KS Micro Area",Hutchinson,KS,Micro,0,0,25592,9756,53,0.005432554,151200
"Andrews, TX Micro Area",Andrews,TX,Micro,6,12660,6844,2397,13,0.005423446,234300
"Zanesville, OH Micro Area",Zanesville,OH,Micro,2,2300,34357,13908,74,0.005320679,197400
"Jamestown-Dunkirk, NY Micro Area",Jamestown-Dunkirk,NY,Micro,2,1200,53393,18145,96,0.005290714,139000
"Hastings, NE Micro Area",Hastings,NE,Micro,0,0,17059,6067,32,0.005274435,194600
"Fort Smith, AR-OK Metro Area",Fort Smith,AR-OK,Metro,0,0,90992,31121,164,0.005269754,190600
"Greenville, OH Micro Area",Greenville,OH,Micro,0,0,21297,8197,43,0.005245822,182000
"Corbin, KY Micro Area",Corbin,KY,Micro,50,336933,56536,16969,89,0.005244858,172000
"Menomonie, WI Micro Area",Menomonie,WI,Micro,0,0,17440,7280,38,0.00521978,247200
"Silver City, NM Micro Area",Silver City,NM,Micro,0,0,11295,3273,17,0.005194012,171800
"York-Hanover, PA Metro Area",York-Hanover,PA,Metro,2,1200,181583,88052,457,0.005190115,256900
"Sparta, WI Micro Area",Sparta,WI,Micro,18,43250,18301,7345,38,0.005173587,219600
"Waycross, GA Micro Area",Waycross,GA,Micro,2,2300,20562,6574,34,0.005171889,168300
"Mount Pleasant, MI Micro Area",Mount Pleasant,MI,Micro,2,4925,24914,8573,44,0.005132392,172400
"Alamosa, CO Micro Area",Alamosa,CO,Micro,0,0,11463,3533,18,0.00509482,252200
"Corning, NY Micro Area",Corning,NY,Micro,50,336933,39219,13939,71,0.005093622,159100
"Abilene, TX Metro Area",Abilene,TX,Metro,6,12660,66088,22198,111,0.00500045,212700
"Safford, AZ Micro Area",Safford,AZ,Micro,2,2300,12746,5007,25,0.00499301,257600
"Franklin, KY Micro Area",Franklin,KY,Micro,50,336933,8025,3245,16,0.004930663,235600
"Houghton, MI Micro Area",Houghton,MI,Micro,2,12595,15440,5521,27,0.004890418,170500
"Goldsboro, NC Metro Area",Goldsboro,NC,Metro,0,0,47507,16431,80,0.004868845,210600
"Adrian, MI Micro Area",Adrian,MI,Micro,2,12595,38871,18707,91,0.004864489,208100
"Mount Airy, NC Micro Area",Mount Airy,NC,Micro,0,0,29869,10693,52,0.004862994,211000
"Pine Bluff, AR Micro Area",Pine Bluff,AR,Micro,1,3200,26948,7651,37,0.004835969,144900
"Ottawa, IL Micro Area",Ottawa,IL,Micro,0,0,61866,24944,120,0.004810776,163600
"Beaumont-Port Arthur, TX Metro Area",Beaumont-Port Arthur,TX,Metro,2,58825,149466,45347,218,0.004807374,220400
"Alpena, MI Micro Area",Alpena,MI,Micro,2,58825,13019,5001,24,0.00479904,158400
"Midland, MI Metro Area",Midland,MI,Metro,3,12150,34993,15167,72,0.004747148,206800
"Ashland, OH Micro Area",Ashland,OH,Micro,0,0,20720,9140,43,0.004704595,186400
"Sioux City, IA-NE-SD Metro Area",Sioux City,IA-NE-SD,Metro,0,0,55468,21510,101,0.00469549,209500
"Thomasville, GA Micro Area",Thomasville,GA,Micro,0,0,28792,10146,47,0.004632367,213400
"Watertown, SD Micro Area",Watertown,SD,Micro,2,4925,12526,4967,23,0.004630562,255800
"Gloversville, NY Micro Area",Gloversville,NY,Micro,0,0,22866,8461,39,0.004609384,178500
"Palatka, FL Micro Area",Palatka,FL,Micro,2,58825,31360,9342,43,0.004602869,188800
"Janesville-Beloit, WI Metro Area",Janesville-Beloit,WI,Metro,0,0,67201,29904,137,0.004581327,236500
"Shawano, WI Micro Area",Shawano,WI,Micro,0,0,18651,7858,36,0.004581318,197700
"Ada, OK Micro Area",Ada,OK,Micro,0,0,15134,5031,23,0.004571656,195300
"Battle Creek, MI Metro Area",Battle Creek,MI,Metro,3,12150,53333,23010,105,0.004563233,169500
"Findlay, OH Micro Area",Findlay,OH,Micro,0,0,31615,13246,60,0.004529669,220600
"Dixon, IL Micro Area",Dixon,IL,Micro,0,0,13337,5328,24,0.004504505,159600
"Scottsbluff, NE Micro Area",Scottsbluff,NE,Micro,0,0,15383,5790,26,0.004490501,181300
"Beckley, WV Metro Area",Beckley,WV,Metro,0,0,44952,14728,66,0.00448126,161700
"Williston, ND Micro Area",Williston,ND,Micro,1,375,15154,4030,18,0.004466501,321000
"Ottumwa, IA Micro Area",Ottumwa,IA,Micro,0,0,13997,4935,22,0.004457953,135400
"Mayagüez, PR Metro Area",Mayagüez,PR,Metro,0,0,84172,15483,69,0.004456501,137900
"Lima, OH Metro Area",Lima,OH,Metro,0,0,41295,15948,71,0.004451969,172200
"West Plains, MO Micro Area",West Plains,MO,Micro,0,0,15965,5181,23,0.004439297,186500
"Opelousas, LA Micro Area",Opelousas,LA,Micro,2,4925,32183,8826,39,0.004418763,185900
"Yuma, AZ Metro Area",Yuma,AZ,Metro,0,0,79341,30500,134,0.004393443,255100
"Bedford, IN Micro Area",Bedford,IN,Micro,0,0,19135,8958,39,0.00435365,198700
"Clewiston, FL Micro Area",Clewiston,FL,Micro,2,1200,18630,5754,25,0.004344804,233800
"Champaign-Urbana, IL Metro Area",Champaign-Urbana,IL,Metro,1,4600,98224,33149,142,0.004283689,210900
"Lebanon, MO Micro Area",Lebanon,MO,Micro,2,4925,14558,5377,23,0.004277478,174900
"Roswell, NM Micro Area",Roswell,NM,Micro,2,2300,23712,7279,31,0.004258827,190300
"Wabash, IN Micro Area",Wabash,IN,Micro,2,58825,12674,6379,27,0.004232638,163600
"McAllen-Edinburg-Mission, TX Metro Area",McAllen-Edinburg-Mission,TX,Metro,20,30671,270210,71799,302,0.004206187,188800
"Anderson Creek, NC Micro Area",Anderson Creek,NC,Micro,5,9500,49845,23135,97,0.004192781,273600
"Bluefield, WV-VA Micro Area",Bluefield,WV-VA,Micro,0,0,40514,10978,46,0.004190199,158600
"Susanville, CA Micro Area",Susanville,CA,Micro,0,0,9247,3582,15,0.004187605,277700
"Kankakee, IL Metro Area",Kankakee,IL,Metro,0,0,40996,16481,69,0.004186639,212400
"Youngstown-Warren, OH Metro Area",Youngstown-Warren,OH,Metro,2,12595,184615,68228,283,0.004147857,161200
"Mayfield, KY Micro Area",Mayfield,KY,Micro,0,0,14139,5558,23,0.004138179,169000
"Borger, TX Micro Area",Borger,TX,Micro,2,2300,7000,2422,10,0.004128819,154700
"Decatur, IL Metro Area",Decatur,IL,Metro,6,12660,43468,16001,66,0.004124742,136400
"Laredo, TX Metro Area",Laredo,TX,Metro,1,3300,81373,27654,114,0.004122369,219000
"Monroe, MI Metro Area",Monroe,MI,Metro,50,336933,63029,31138,127,0.004078618,241300
"Lansing-East Lansing, MI Metro Area",Lansing-East Lansing,MI,Metro,3,12150,194163,80931,326,0.004028123,224800
"Washington, IN Micro Area",Washington,IN,Micro,2,58825,11814,4519,18,0.003983182,211600
"Danville, VA Micro Area",Danville,VA,Micro,2,2300,44086,12861,51,0.003965477,165100
"Vincennes, IN Micro Area",Vincennes,IN,Micro,0,0,15169,5807,23,0.003960737,168500
"Oil City, PA Micro Area",Oil City,PA,Micro,2,12595,21397,7091,28,0.003948667,144900
"Hattiesburg, MS Metro Area",Hattiesburg,MS,Metro,0,0,60155,20559,81,0.00393988,214600
"Greensburg, IN Micro Area",Greensburg,IN,Micro,0,0,10712,4909,19,0.003870442,201300
"Athens, OH Micro Area",Athens,OH,Micro,4,3425,23014,6486,25,0.003854456,204600
"Greenville, NC Metro Area",Greenville,NC,Metro,50,336933,74533,23879,92,0.003852758,229900
"Lewistown, PA Micro Area",Lewistown,PA,Micro,0,0,18510,6505,25,0.003843198,155800
"Arkansas City-Winfield, KS Micro Area",Arkansas City-Winfield,KS,Micro,0,0,13387,4715,18,0.003817603,135700
"Owensboro, KY Metro Area",Owensboro,KY,Metro,2,58825,45280,18103,68,0.003756283,206200
"Vicksburg, MS Micro Area",Vicksburg,MS,Micro,0,0,16772,5602,21,0.003748661,200500
"Manitowoc, WI Micro Area",Manitowoc,WI,Micro,0,0,35188,14760,55,0.003726287,188900
"Fairbanks-College, AK Metro Area",Fairbanks-College,AK,Metro,2,4925,36359,12763,47,0.00368252,324900
"Pella, IA Micro Area",Pella,IA,Micro,0,0,13316,6081,22,0.003617826,244300
"Huntington-Ashland, WV-KY-OH Metro Area",Huntington-Ashland,WV-KY-OH,Metro,50,336933,152165,52592,190,0.003612717,174000
"Gadsden, AL Metro Area",Gadsden,AL,Metro,0,0,39411,13102,47,0.003587239,188400
"New Philadelphia-Dover, OH Micro Area",New Philadelphia-Dover,OH,Micro,2,12595,38492,14539,52,0.003576587,197500
"Miami, OK Micro Area",Miami,OK,Micro,0,0,11921,3811,13,0.003411178,138300
"Sikeston, MO Micro Area",Sikeston,MO,Micro,2,12595,19809,7358,25,0.003397662,153900
"Sidney, OH Micro Area",Sidney,OH,Micro,0,0,18906,8046,27,0.003355705,209500
"Jacksonville, IL Micro Area",Jacksonville,IL,Micro,4,3425,15122,6015,20,0.003325021,129700
"DuBois, PA Micro Area",DuBois,PA,Micro,2,58825,32518,11557,38,0.003288051,154200
"Vineland, NJ Metro Area",Vineland,NJ,Metro,0,0,53781,21077,69,0.003273711,233900
"Terre Haute, IN Metro Area",Terre Haute,IN,Metro,1,3200,67374,27289,89,0.003261387,156200
"Fairmont, WV Micro Area",Fairmont,WV,Micro,0,0,23339,8910,29,0.00325477,189200
"Malvern, AR Micro Area",Malvern,AR,Micro,0,0,12310,4305,14,0.003252033,185100
"Peoria, IL Metro Area",Peoria,IL,Metro,50,336933,153870,64334,207,0.003217583,166600
"Indiana, PA Micro Area",Indiana,PA,Micro,2,1200,32487,10930,35,0.003202196,157500
"Carbondale, IL Micro Area",Carbondale,IL,Micro,50,336933,22955,5317,17,0.003197292,155200
"Marshall, MN Micro Area",Marshall,MN,Micro,0,0,10108,3754,12,0.00319659,217900
"Alma, MI Micro Area",Alma,MI,Micro,3,9021,14775,6270,20,0.003189793,154200
"Guymon, OK Micro Area",Guymon,OK,Micro,0,0,6824,1885,6,0.003183024,185300
"Vidalia, GA Micro Area",Vidalia,GA,Micro,0,0,13552,4091,13,0.003177707,164900
"Fond du Lac, WI Metro Area",Fond du Lac,WI,Metro,20,30671,43243,17365,55,0.003167291,227200
"Kendallville, IN Micro Area",Kendallville,IN,Micro,2,2300,18179,8854,28,0.003162412,206600
"Harrison, AR Micro Area",Harrison,AR,Micro,0,0,18542,6384,20,0.003132832,195200
"Natchez, MS-LA Micro Area",Natchez,MS-LA,Micro,0,0,20736,4799,15,0.003125651,144200
"Albert Lea, MN Micro Area",Albert Lea,MN,Micro,1,4600,12846,5447,17,0.003120984,171600
"Cadillac, MI Micro Area",Cadillac,MI,Micro,2,12595,19605,8683,27,0.003109524,182500
"Shawnee, OK Micro Area",Shawnee,OK,Micro,0,0,26927,9383,29,0.003090696,183900
"Hillsdale, MI Micro Area",Hillsdale,MI,Micro,0,0,17860,8438,26,0.003081299,180600
"Wilson, NC Micro Area",Wilson,NC,Micro,0,0,33068,11432,35,0.003061582,216400
"Toccoa, GA Micro Area",Toccoa,GA,Micro,50,336933,10524,3595,11,0.003059805,207200
"Bloomsburg-Berwick, PA Micro Area",Bloomsburg-Berwick,PA,Micro,2,4925,26350,8886,27,0.003038488,214800
"Murray, KY Micro Area",Murray,KY,Micro,1,3300,15239,4666,14,0.003000429,193300
"Muskogee, OK Micro Area",Muskogee,OK,Micro,0,0,25739,8669,26,0.002999193,170900
